"Geneid"	"con_AP1"	"con_AP2"	"con_AP3"	"TAM_AP1"	"TAM_AP2"	"TAM_AP3"	"con_PP1"	"con_PP2"	"con_PP3"	"TAM_PP1"	"TAM_PP2"	"TAM_PP3"
"ENSMUSG00000000001"	1517	1500	1567	3843	2703	2271	1780	1784	1907	2809	2386	2189
"ENSMUSG00000000003"	0	0	0	0	7	0	0	0	0	0	0	0
"ENSMUSG00000000028"	372	349	367	649	342	402	382	337	400	417	374	338
"ENSMUSG00000000031"	51403	49004	58812	87594	55742	53015	90085	73466	86661	83609	84542	76294
"ENSMUSG00000000037"	80	94	75	201	114	114	96	102	88	125	128	115
"ENSMUSG00000000049"	3	5	6	27	7	14	2	10	7	15	10	22
"ENSMUSG00000000056"	741	804	862	1978	1257	1073	845	819	945	1404	1079	1144
"ENSMUSG00000000058"	36	53	43	119	80	85	39	32	49	109	66	50
"ENSMUSG00000000078"	465	472	510	791	583	518	409	551	695	609	672	532
"ENSMUSG00000000085"	450	498	487	733	439	507	550	452	553	516	541	460
"ENSMUSG00000000088"	633	612	778	1002	559	579	658	625	689	648	526	514
"ENSMUSG00000000093"	4259	5269	5866	6524	3640	3924	2798	2127	3014	1977	2586	2233
"ENSMUSG00000000094"	19	20	44	46	22	26	63	51	44	52	40	48
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000120"	2130	1932	2187	3066	1767	1788	3308	2573	3277	2552	2716	2816
"ENSMUSG00000000125"	5	4	3	5	2	5	0	0	1	4	0	3
"ENSMUSG00000000126"	215	201	279	302	274	246	189	173	192	187	192	205
"ENSMUSG00000000127"	140	154	137	413	285	249	187	221	199	315	277	237
"ENSMUSG00000000131"	1596	1611	1620	2924	1678	1912	1936	1675	2003	1908	1867	1779
"ENSMUSG00000000134"	485	573	568	924	492	546	622	548	600	595	592	692
"ENSMUSG00000000142"	766	841	822	1654	981	1156	833	643	765	976	908	954
"ENSMUSG00000000148"	357	356	425	596	258	368	414	333	369	374	352	380
"ENSMUSG00000000149"	1967	2012	2266	3338	2093	2123	2420	1818	2380	2205	2276	1962
"ENSMUSG00000000154"	15	24	36	44	20	22	39	18	35	26	19	32
"ENSMUSG00000000157"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000159"	0	0	0	1	0	0	0	0	0	0	0	0
"ENSMUSG00000000167"	13	17	20	32	21	23	16	19	15	21	18	29
"ENSMUSG00000000168"	561	492	463	981	644	631	546	509	645	699	664	610
"ENSMUSG00000000171"	749	685	903	1324	725	785	875	766	864	897	757	748
"ENSMUSG00000000182"	0	1	0	5	3	0	1	0	0	2	1	1
"ENSMUSG00000000183"	1	0	0	0	0	0	6	8	4	19	15	7
"ENSMUSG00000000184"	6769	7223	6713	19975	12104	12342	7533	7370	7450	10918	9568	9353
"ENSMUSG00000000194"	885	858	910	1749	943	985	1041	1018	1092	1263	1030	1108
"ENSMUSG00000000197"	48	58	27	137	83	82	23	45	40	63	50	55
"ENSMUSG00000000202"	1	3	2	1	0	1	13	6	10	18	8	8
"ENSMUSG00000000204"	1	0	0	1	1	2	0	0	1	0	1	1
"ENSMUSG00000000214"	1	1	0	1	0	0	7	1	6	9	1	0
"ENSMUSG00000000215"	0	0	0	0	0	0	0	1	0	0	0	0
"ENSMUSG00000000216"	6	7	3	6	4	6	0	1	3	3	3	1
"ENSMUSG00000000223"	270	243	260	447	265	301	374	334	377	406	310	369
"ENSMUSG00000000244"	5	9	7	11	3	7	9	13	6	5	5	3
"ENSMUSG00000000247"	4	2	5	14	4	4	8	7	10	12	13	13
"ENSMUSG00000000248"	0	1	0	0	0	1	0	1	0	1	0	0
"ENSMUSG00000000253"	198	197	252	313	147	192	166	152	205	155	132	140
"ENSMUSG00000000263"	1	1	0	0	0	1	1	0	1	1	0	0
"ENSMUSG00000000266"	93	83	68	274	155	167	99	127	134	268	209	216
"ENSMUSG00000000275"	243	237	224	883	423	405	205	165	221	510	320	314
"ENSMUSG00000000276"	113	99	96	237	167	141	113	93	113	131	134	101
"ENSMUSG00000000278"	677	720	712	1438	848	928	886	815	871	1068	963	879
"ENSMUSG00000000282"	688	774	774	1368	714	820	896	726	979	799	964	921
"ENSMUSG00000000290"	12	14	21	37	6	18	14	8	8	6	6	8
"ENSMUSG00000000295"	209	166	214	295	171	133	262	217	253	214	181	178
"ENSMUSG00000000296"	90	92	108	156	137	91	205	169	212	168	168	184
"ENSMUSG00000000301"	26	36	30	27	14	18	40	25	43	33	32	25
"ENSMUSG00000000303"	747	879	727	2383	1051	1017	708	723	802	1197	905	1196
"ENSMUSG00000000305"	87	68	59	109	55	67	1262	1020	1292	1378	1911	1290
"ENSMUSG00000000308"	50	57	59	70	56	33	27	29	29	31	26	41
"ENSMUSG00000000317"	150	191	159	288	149	166	251	220	227	214	192	191
"ENSMUSG00000000318"	2	7	7	5	2	3	2	4	0	1	0	1
"ENSMUSG00000000320"	56	75	71	103	57	52	36	33	44	38	43	75
"ENSMUSG00000000326"	461	392	497	699	360	383	548	460	497	459	469	419
"ENSMUSG00000000339"	449	442	472	644	455	442	487	409	466	455	433	405
"ENSMUSG00000000340"	176	196	213	505	367	339	269	285	273	402	339	319
"ENSMUSG00000000346"	677	579	712	1336	866	754	702	661	737	913	738	658
"ENSMUSG00000000355"	190	177	219	278	196	149	186	157	196	211	165	192
"ENSMUSG00000000359"	22	20	32	56	28	20	21	14	20	25	45	38
"ENSMUSG00000000365"	5	9	6	31	7	11	10	8	14	13	10	6
"ENSMUSG00000000374"	488	558	533	1174	584	683	606	544	619	741	766	641
"ENSMUSG00000000378"	680	601	664	941	501	572	793	561	759	624	625	551
"ENSMUSG00000000381"	0	0	0	0	0	0	0	0	0	1	0	0
"ENSMUSG00000000384"	587	694	709	896	547	636	767	646	778	602	589	589
"ENSMUSG00000000385"	8	13	10	23	8	16	21	29	36	46	27	19
"ENSMUSG00000000386"	2	1	1	24	3	2	1	1	1	7	1	4
"ENSMUSG00000000392"	116	135	105	150	86	113	65	51	66	112	75	76
"ENSMUSG00000000394"	0	1	0	2	1	0	0	0	1	1	0	0
"ENSMUSG00000000399"	792	768	905	1251	777	792	892	826	870	840	762	718
"ENSMUSG00000000402"	598	600	596	1642	954	1078	1517	1379	1645	2188	2173	2010
"ENSMUSG00000000409"	98	78	103	124	62	66	77	58	76	81	54	65
"ENSMUSG00000000411"	0	1	1	0	1	2	1	0	1	1	0	1
"ENSMUSG00000000416"	267	196	227	470	354	291	225	205	201	259	235	205
"ENSMUSG00000000420"	933	991	870	1994	1389	1293	1434	1327	1544	1783	1582	1512
"ENSMUSG00000000435"	2	3	0	1	0	1	36	24	31	43	47	23
"ENSMUSG00000000439"	1210	1297	1379	1902	1183	1098	1449	1249	1506	1298	1111	1123
"ENSMUSG00000000440"	6	6	4	14	4	17	7	3	9	11	7	0
"ENSMUSG00000000441"	1741	1809	1779	2831	1783	1809	2067	1716	2074	1915	1841	1593
"ENSMUSG00000000486"	94	127	120	146	91	81	96	101	112	87	68	69
"ENSMUSG00000000489"	163	193	212	318	155	188	245	153	186	214	229	218
"ENSMUSG00000000530"	273	313	326	432	311	233	592	528	605	497	489	510
"ENSMUSG00000000531"	412	457	536	721	407	337	629	447	611	417	487	465
"ENSMUSG00000000532"	495	454	411	1033	602	544	497	341	408	582	518	560
"ENSMUSG00000000538"	575	569	581	1033	551	630	792	657	878	769	772	687
"ENSMUSG00000000544"	0	1	1	6	2	2	4	3	3	2	1	4
"ENSMUSG00000000552"	682	736	944	912	475	555	848	588	902	619	682	577
"ENSMUSG00000000555"	1532	1449	1673	2723	1388	1632	2334	2055	2256	2075	2239	2215
"ENSMUSG00000000560"	84	55	66	84	59	49	60	55	82	57	57	40
"ENSMUSG00000000561"	309	332	309	466	278	327	358	313	314	343	249	264
"ENSMUSG00000000562"	1	1	1	2	1	0	0	0	0	0	1	0
"ENSMUSG00000000563"	1733	1717	1850	3107	2100	1815	1739	1877	2033	2238	1629	1600
"ENSMUSG00000000567"	1216	1342	1438	2262	1187	1257	2561	1761	1992	1741	2398	2087
"ENSMUSG00000000568"	6206	6545	6919	11390	11062	6812	7209	6456	7728	6986	7146	6503
"ENSMUSG00000000579"	41	54	53	74	30	46	58	46	42	60	41	40
"ENSMUSG00000000581"	397	356	428	588	440	345	486	430	481	491	380	399
"ENSMUSG00000000594"	205	223	246	467	199	286	262	213	269	297	284	261
"ENSMUSG00000000600"	367	349	346	690	540	414	358	358	359	441	417	375
"ENSMUSG00000000605"	508	467	549	873	683	558	677	622	633	773	693	640
"ENSMUSG00000000606"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000617"	0	3	1	1	1	2	0	1	0	0	1	1
"ENSMUSG00000000627"	249	212	258	433	209	240	179	108	164	179	168	148
"ENSMUSG00000000628"	700	694	691	1977	1095	1127	707	604	725	926	803	1068
"ENSMUSG00000000631"	1474	1560	1540	2851	1634	1848	1917	1433	1756	1877	1993	1863
"ENSMUSG00000000632"	0	0	1	9	0	2	2	2	5	1	3	3
"ENSMUSG00000000673"	2	1	0	7	0	2	0	0	1	0	1	2
"ENSMUSG00000000682"	18	28	23	34	34	19	15	9	15	7	12	13
"ENSMUSG00000000686"	13	22	13	47	35	45	8	19	29	36	33	35
"ENSMUSG00000000690"	0	0	0	0	1	0	0	0	0	0	0	0
"ENSMUSG00000000693"	569	523	587	913	490	518	883	721	863	802	852	749
"ENSMUSG00000000701"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000706"	2	1	0	2	2	0	2	2	1	1	1	0
"ENSMUSG00000000708"	83	66	70	215	140	126	109	76	93	146	119	103
"ENSMUSG00000000711"	812	762	769	1836	1189	1092	984	890	1006	1312	1249	1124
"ENSMUSG00000000724"	0	0	1	0	1	0	0	1	0	0	0	0
"ENSMUSG00000000730"	0	1	2	5	0	0	1	0	3	0	0	0
"ENSMUSG00000000731"	3	1	3	6	0	1	0	1	0	2	1	2
"ENSMUSG00000000732"	19	37	27	76	37	40	34	43	40	50	38	50
"ENSMUSG00000000738"	591	572	634	806	526	481	651	540	698	531	453	499
"ENSMUSG00000000739"	241	212	244	292	133	160	192	178	187	204	137	129
"ENSMUSG00000000740"	12770	12301	17366	17121	10225	10364	13607	11020	13902	10900	10611	9838
"ENSMUSG00000000743"	1118	1203	1433	1836	930	1074	1423	1169	1510	1220	1192	1065
"ENSMUSG00000000751"	1258	1271	1403	2243	1518	1429	1526	1561	1620	1590	1570	1432
"ENSMUSG00000000753"	1430	1481	1678	2104	892	1353	2157	1789	2007	1740	1840	1767
"ENSMUSG00000000759"	456	498	497	987	581	591	559	467	540	627	575	605
"ENSMUSG00000000766"	0	1	0	0	0	0	1	1	0	1	0	0
"ENSMUSG00000000776"	532	591	595	834	613	624	661	584	626	594	601	552
"ENSMUSG00000000782"	554	647	633	831	325	675	359	251	250	176	205	259
"ENSMUSG00000000787"	3297	3478	3245	9063	7281	5793	4047	4091	4895	6574	5491	5171
"ENSMUSG00000000791"	3	3	1	3	5	3	2	3	0	2	1	5
"ENSMUSG00000000792"	0	3	7	3	3	4	2	1	4	2	1	2
"ENSMUSG00000000794"	20	28	13	49	51	46	78	58	60	99	106	108
"ENSMUSG00000000804"	247	257	188	631	424	418	268	227	283	457	369	345
"ENSMUSG00000000805"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000811"	131	155	168	294	153	153	147	150	204	165	146	155
"ENSMUSG00000000817"	0	0	0	0	0	0	0	0	0	0	0	0
